"CVS Info: $Id: LI-PS-mainDoorLock.csv,v 1.7 2006/01/05 11:45:05 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,16,1,"LI-PS-MNDC-01"," ","NOT MAIN","DOOR CRASH","serial","no"," "," ",0
2,16,2,"LI-PS-KEY-01"," "," ","LINAC KEY","serial","no"," "," ",1
3,16,3,"LI-PS-BOB-01"," "," ","BOB","serial","no"," "," ",2
4,16,4,"LI-PS-MNDIR-01"," ","NOT MAIN","INT. RELEASE","serial","no"," "," ",3
5,16,0,"LI-PS-IOC-01"," ","LOP8","MAIN DOOR LOCK","lop","yes"," "," ",4
6,17,1,"LI-PS-MNDC-02"," ","NOT MAIN","DOOR CRASH","serial","no"," "," ",0
7,17,2,"LI-PS-CTLRM-01"," ","CONTROL","ROOM","serial","yes"," "," ",6
8,21,1,"LI-PS-MNDC-03"," ","NOT MAIN","DOOR CRASH","serial","no"," "," ",0
9,21,2,"LI-PS-GUNHT-01"," ","GUN HT","NOT SAFE","serial","yes"," "," ",8
