"CVS Info: $Id: SR14C-PS-summaryRad.csv,v 1.4 2006/05/03 12:39:03 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,13,1,"SR14C-PS-RDMNR-01"," ","RAD MON","SR14C-1 RATE","serial","no"," ","now",0
2,13,2,"SR14C-PS-RDMND-01"," ","RAD MON","SR14C-1 ACCUM","serial","no"," ","now",1
3,13,3,"SR14C-PS-RDMNR-02"," ","RAD MON","SR15C RATE","serial","no"," ","now",2
4,13,4,"SR14C-PS-RDMND-02"," ","RAD MON","SR15C ACCUM","serial","no"," ","now",3
5,11,1,"SR14C-PS-RDMNR-04"," ","RAD MON","SR16C RATE","serial","no"," ","now",4
6,11,2,"SR14C-PS-RDMND-04"," ","RAD MON","SR16C ACCUM","serial","no"," ","now",5
7,11,3,"SR14C-PS-RDMNR-03"," ","RAD MON","SPARE RATE","serial","no"," ","now",6
8,11,4,"SR14C-PS-RDMND-03"," ","RAD MON","SPARE ACCUM","serial","no"," ","now",7
9,6,1,"SR14C-PS-RDMON-01"," ","ZONE 5","RAD OK","serial","no","SR10C-PS-radiationOk.edl"," ",8
10,6,2,"SR14C-PS-RDMON-02"," ","ZONE 6","RAD OK","serial","no","SR12C-PS-radiationOk.edl"," ",9
11,10,3,"SR14C-PS-RDMON-03"," ","ZONE 8","RAD OK","serial","no","SR18C-PS-radiationOk.edl"," ",10
12,10,4,"SR14C-PS-RDMON-04"," ","ZONE 9","RAD OK","serial","no","SR20C-PS-radiationOk.edl"," ",11
13,10,0,"SR14C-PS-IOC-02","LOP10","SR14C SUMMARY","RADIATION","lop","yes"," "," ",12
